day,holiday,calendar_week,class,start,end,abbreviation
Friday,Karfreitag,15,1,2020-04-10,2020-04-10,KRF
Sunday,Ostern,15,4,2020-04-12,2020-04-12,OST
Monday,Ostermontag,16,1,2020-04-13,2020-04-13,OSM
Friday,Tag der Arbeit,18,1,2020-05-01,2020-05-01,TdA
Saturday,Europatag,19,5,2020-05-09,2020-05-09,EUT
Sunday,Muttertag,19,5,2020-05-10,2020-05-10,MUT
Thursday,Christi Himmelfahrt,21,1,2020-05-21,2020-05-21,CRH
Sunday,Pfingsten,22,4,2020-05-31,2020-05-31,PFG
Monday,Pfingstmontag,23,1,2020-06-01,2020-06-01,PFM
Thursday,Fronleichnam,24,1,2020-06-11,2020-06-11,FRL
Saturday,Tag der Deutschen Einheit,40,1,2020-10-03,2020-10-03,TDE
Sunday,Allerheiligen,44,1,2020-11-01,2020-11-01,ALH
Sunday,Volkstrauertag,46,4,2020-11-15,2020-11-15,VLT
Sunday,Ewigkeitssonntag,47,5,2020-11-22,2020-11-22,EWS
Sunday,Erster Advent,48,5,2020-11-29,2020-11-29,ESA
Sunday,Zweiter Advent,49,5,2020-12-06,2020-12-06,AD2
Sunday,St. Nikolaus,49,5,2020-12-06,2020-12-06,STN
Sunday,Dritter Advent,50,5,2020-12-13,2020-12-13,AD3
Sunday,Vierter Advent,51,5,2020-12-20,2020-12-20,AD4
Thursday,Heiliger Abend,52,5,2020-12-24,2020-12-24,HAB
Friday,Weihnachten,52,1,2020-12-25,2020-12-25,WHN
Saturday,Zweiter Weihnachtsfeiertag,52,1,2020-12-26,2020-12-26,WF2
Thursday,Silvester,53,5,2020-12-31,2020-12-31,SLV
Tuesday,Neujahr,1,1,2019-01-01,2019-01-01,NEJ
Sunday,Heilige drei Könige,1,1,2019-01-06,2019-01-06,HdK
Thursday,Valentinstag,7,5,2019-02-14,2019-02-14,VLT
Wednesday,Aschermittwoch,10,5,2019-03-06,2019-03-06,ASM
Sunday,Palmsonntag,15,5,2019-04-14,2019-04-14,PLM
Friday,Karfreitag,16,1,2019-04-19,2019-04-19,KRF
Sunday,Ostern,16,4,2019-04-21,2019-04-21,OST
Monday,Ostermontag,17,1,2019-04-22,2019-04-22,OSM
Wednesday,Tag der Arbeit,18,1,2019-05-01,2019-05-01,TdA
Thursday,Europatag,19,5,2019-05-09,2019-05-09,EUT
Sunday,Muttertag,19,5,2019-05-12,2019-05-12,MUT
Thursday,Christi Himmelfahrt,22,1,2019-05-30,2019-05-30,CRH
Sunday,Pfingsten,23,4,2019-06-09,2019-06-09,PFG
Monday,Pfingstmontag,24,1,2019-06-10,2019-06-10,PFM
Thursday,Fronleichnam,25,1,2019-06-20,2019-06-20,FRL
Thursday,Tag der Deutschen Einheit,40,1,2019-10-03,2019-10-03,TDE
Friday,Allerheiligen,44,1,2019-11-01,2019-11-01,ALH
Sunday,Volkstrauertag,46,4,2019-11-17,2019-11-17,VLT
Sunday,Ewigkeitssonntag,47,5,2019-11-24,2019-11-24,EWS
Sunday,Erster Advent,48,5,2019-12-01,2019-12-01,ESA
Friday,St. Nikolaus,49,5,2019-12-06,2019-12-06,STN
Sunday,Zweiter Advent,49,5,2019-12-08,2019-12-08,AD2
Sunday,Dritter Advent,50,5,2019-12-15,2019-12-15,AD3
Sunday,Vierter Advent,51,5,2019-12-22,2019-12-22,AD4
Tuesday,Heiliger Abend,52,5,2019-12-24,2019-12-24,HAB
Wednesday,Weihnachten,52,1,2019-12-25,2019-12-25,WHN
Thursday,Zweiter Weihnachtsfeiertag,52,1,2019-12-26,2019-12-26,WF2
Tuesday,Silvester,1,5,2019-12-31,2019-12-31,SLV
Monday,Neujahr,1,1,2018-01-01,2018-01-01,NEJ
Saturday,Heilige drei Könige,1,1,2018-01-06,2018-01-06,HdK
Wednesday,Valentinstag,7,5,2018-02-14,2018-02-14,VLT
Wednesday,Aschermittwoch,7,5,2018-02-14,2018-02-14,ASM
Sunday,Palmsonntag,12,5,2018-03-25,2018-03-25,PLM
Friday,Karfreitag,13,1,2018-03-30,2018-03-30,KRF
Sunday,Ostern,13,4,2018-04-01,2018-04-01,OST
Monday,Ostermontag,14,1,2018-04-02,2018-04-02,OSM
Tuesday,Tag der Arbeit,18,1,2018-05-01,2018-05-01,TdA
Wednesday,Europatag,19,5,2018-05-09,2018-05-09,EUT
Thursday,Christi Himmelfahrt,19,1,2018-05-10,2018-05-10,CRH
Sunday,Muttertag,19,5,2018-05-13,2018-05-13,MUT
Sunday,Pfingsten,20,4,2018-05-20,2018-05-20,PFG
Monday,Pfingstmontag,21,1,2018-05-21,2018-05-21,PFM
Thursday,Fronleichnam,22,1,2018-05-31,2018-05-31,FRL
Wednesday,Tag der Deutschen Einheit,40,1,2018-10-03,2018-10-03,TDE
Thursday,Allerheiligen,44,1,2018-11-01,2018-11-01,ALH
Sunday,Volkstrauertag,46,4,2018-11-18,2018-11-18,VLT
Sunday,Ewigkeitssonntag,47,5,2018-11-25,2018-11-25,EWS
Sunday,Erster Advent,48,5,2018-12-02,2018-12-02,ESA
Thursday,St. Nikolaus,49,5,2018-12-06,2018-12-06,STN
Sunday,Zweiter Advent,49,5,2018-12-09,2018-12-09,AD2
Sunday,Dritter Advent,50,5,2018-12-16,2018-12-16,AD3
