timestamp,iso_timestamp,zählstand,channel_name,channel_id,counter_site,counter_site_id
2013-05-15T18:00:00+0000,2013-05-15 16:00:00+00:00,359,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-15T18:00:00+0000,2013-05-15 16:00:00+00:00,290,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-15T19:00:00+0000,2013-05-15 17:00:00+00:00,213,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-15T19:00:00+0000,2013-05-15 17:00:00+00:00,245,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-15T20:00:00+0000,2013-05-15 18:00:00+00:00,134,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-15T20:00:00+0000,2013-05-15 18:00:00+00:00,208,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-15T21:00:00+0000,2013-05-15 19:00:00+00:00,90,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-15T21:00:00+0000,2013-05-15 19:00:00+00:00,142,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-15T22:00:00+0000,2013-05-15 20:00:00+00:00,128,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-15T22:00:00+0000,2013-05-15 20:00:00+00:00,64,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-15T23:00:00+0000,2013-05-15 21:00:00+00:00,30,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-15T23:00:00+0000,2013-05-15 21:00:00+00:00,88,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T00:00:00+0000,2013-05-15 22:00:00+00:00,19,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T00:00:00+0000,2013-05-15 22:00:00+00:00,25,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T01:00:00+0000,2013-05-15 23:00:00+00:00,4,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T01:00:00+0000,2013-05-15 23:00:00+00:00,14,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T02:00:00+0000,2013-05-16 00:00:00+00:00,7,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T02:00:00+0000,2013-05-16 00:00:00+00:00,2,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T03:00:00+0000,2013-05-16 01:00:00+00:00,4,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T03:00:00+0000,2013-05-16 01:00:00+00:00,3,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T04:00:00+0000,2013-05-16 02:00:00+00:00,2,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T04:00:00+0000,2013-05-16 02:00:00+00:00,2,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T05:00:00+0000,2013-05-16 03:00:00+00:00,24,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T05:00:00+0000,2013-05-16 03:00:00+00:00,9,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T06:00:00+0000,2013-05-16 04:00:00+00:00,54,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T06:00:00+0000,2013-05-16 04:00:00+00:00,37,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T07:00:00+0000,2013-05-16 05:00:00+00:00,416,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T07:00:00+0000,2013-05-16 05:00:00+00:00,139,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T08:00:00+0000,2013-05-16 06:00:00+00:00,398,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T08:00:00+0000,2013-05-16 06:00:00+00:00,151,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T09:00:00+0000,2013-05-16 07:00:00+00:00,260,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T09:00:00+0000,2013-05-16 07:00:00+00:00,131,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T10:00:00+0000,2013-05-16 08:00:00+00:00,152,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T10:00:00+0000,2013-05-16 08:00:00+00:00,91,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T11:00:00+0000,2013-05-16 09:00:00+00:00,154,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T11:00:00+0000,2013-05-16 09:00:00+00:00,121,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T12:00:00+0000,2013-05-16 10:00:00+00:00,199,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T12:00:00+0000,2013-05-16 10:00:00+00:00,202,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T13:00:00+0000,2013-05-16 11:00:00+00:00,253,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T13:00:00+0000,2013-05-16 11:00:00+00:00,228,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T14:00:00+0000,2013-05-16 12:00:00+00:00,164,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T14:00:00+0000,2013-05-16 12:00:00+00:00,176,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T15:00:00+0000,2013-05-16 13:00:00+00:00,224,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T15:00:00+0000,2013-05-16 13:00:00+00:00,243,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T16:00:00+0000,2013-05-16 14:00:00+00:00,220,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T16:00:00+0000,2013-05-16 14:00:00+00:00,290,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T17:00:00+0000,2013-05-16 15:00:00+00:00,318,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T17:00:00+0000,2013-05-16 15:00:00+00:00,239,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T18:00:00+0000,2013-05-16 16:00:00+00:00,213,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T18:00:00+0000,2013-05-16 16:00:00+00:00,334,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T19:00:00+0000,2013-05-16 17:00:00+00:00,164,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T19:00:00+0000,2013-05-16 17:00:00+00:00,228,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T20:00:00+0000,2013-05-16 18:00:00+00:00,124,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T20:00:00+0000,2013-05-16 18:00:00+00:00,140,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T21:00:00+0000,2013-05-16 19:00:00+00:00,94,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T21:00:00+0000,2013-05-16 19:00:00+00:00,89,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T22:00:00+0000,2013-05-16 20:00:00+00:00,103,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T22:00:00+0000,2013-05-16 20:00:00+00:00,74,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T23:00:00+0000,2013-05-16 21:00:00+00:00,23,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-16T23:00:00+0000,2013-05-16 21:00:00+00:00,55,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-17T00:00:00+0000,2013-05-16 22:00:00+00:00,19,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-17T00:00:00+0000,2013-05-16 22:00:00+00:00,24,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-17T01:00:00+0000,2013-05-16 23:00:00+00:00,10,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-17T01:00:00+0000,2013-05-16 23:00:00+00:00,27,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-17T02:00:00+0000,2013-05-17 00:00:00+00:00,30,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-17T02:00:00+0000,2013-05-17 00:00:00+00:00,3,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-17T03:00:00+0000,2013-05-17 01:00:00+00:00,20,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-17T03:00:00+0000,2013-05-17 01:00:00+00:00,4,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-17T04:00:00+0000,2013-05-17 02:00:00+00:00,4,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-17T04:00:00+0000,2013-05-17 02:00:00+00:00,6,Richtung Derendingen,out,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
2013-05-17T05:00:00+0000,2013-05-17 03:00:00+00:00,19,Richtung Altstadt,in,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,100003359
