timestamp,Tübingen Temperature [2 m elevation corrected],Tübingen Precipitation Total,Tübingen Snowfall Amount,Tübingen Wind Gust,Tübingen Wind Speed [10 m],Tübingen Wind Direction [10 m],Tübingen Cloud Cover Total,Tübingen Sunshine Duration
2015-01-01 00:00:00,-1.3101829,0.0,0.0,6.12,2.7416782,203.1986,98.0,0.0
2015-01-01 01:00:00,-1.440183,0.0,0.0,6.4799995,2.2768397,198.43495,99.0,0.0
2015-01-01 02:00:00,-1.210183,0.0,0.0,6.12,2.1897945,189.46233,97.0,0.0
2015-01-01 03:00:00,-1.030183,0.0,0.0,5.04,2.52,180.0,93.0,0.0
2015-01-01 04:00:00,-1.6801829,0.0,0.0,3.6,2.52,180.0,88.0,0.0
2015-01-01 05:00:00,-1.520183,0.0,0.0,2.8799999,2.8799999,180.0,65.0,0.0
2015-01-01 06:00:00,-1.940183,0.0,0.0,4.32,3.6179552,174.28941,47.0,0.0
2015-01-01 07:00:00,-2.2301831,0.0,0.0,7.92,3.7585104,163.30075,41.0,0.0
2015-01-01 08:00:00,-1.720183,0.0,0.0,6.8399997,3.4152596,161.56505,52.0,21.806734
2015-01-01 09:00:00,-1.740183,0.0,0.0,5.7599998,2.52,180.0,66.0,19.999998
2015-01-01 10:00:00,-0.64018303,0.0,0.0,6.4799995,3.396233,147.99461,95.0,2.4242413
2015-01-01 11:00:00,-0.24018304,0.0,0.0,9.72,6.379216,163.61046,58.0,24.848484
2015-01-01 12:00:00,0.21981697,0.0,0.0,10.08,4.6938252,184.39871,19.0,48.484848
2015-01-01 13:00:00,0.32981697,0.0,0.0,10.440001,5.95906,205.01689,10.0,53.939396
2015-01-01 14:00:00,-0.710183,0.0,0.0,10.799999,6.0347,197.35403,14.0,51.51515
2015-01-01 15:00:00,0.599817,0.0,0.0,11.159999,5.937272,165.96376,4.0,57.575756
2015-01-01 16:00:00,1.0798169,0.0,0.0,8.28,6.849467,176.98721,4.0,37.664143
2015-01-01 17:00:00,-2.270183,0.0,0.0,7.5599995,6.2145634,190.00798,17.400002,0.0
2015-01-01 18:00:00,-3.1301832,0.0,0.0,11.879999,6.8399997,180.0,29.1,0.0
2015-01-01 19:00:00,-3.4001832,0.0,0.0,12.959999,6.849467,176.98721,28.800001,0.0
2015-01-01 20:00:00,-4.650183,0.0,0.0,15.84,8.647496,182.38594,29.1,0.0
2015-01-01 21:00:00,-4.0101833,0.0,0.0,16.56,8.287822,182.48955,29.7,0.0
2015-01-01 22:00:00,-1.220183,0.0,0.0,15.4800005,6.2145634,190.00798,30.000002,0.0
2015-01-01 23:00:00,-1.420183,0.0,0.0,17.28,7.5685663,182.72632,28.500002,0.0
2015-01-02 00:00:00,-1.660183,0.0,0.0,17.64,6.9899354,191.88866,29.1,0.0
2015-01-02 01:00:00,-1.610183,0.0,0.0,17.28,7.072878,194.74356,23.400002,0.0
2015-01-02 02:00:00,-2.000183,0.0,0.0,16.56,8.12197,192.80426,15.6,0.0
2015-01-02 03:00:00,-2.000183,0.0,0.0,16.56,10.041354,194.53445,22.2,0.0
2015-01-02 04:00:00,-1.500183,0.0,0.0,22.68,12.758432,196.38954,26.400002,0.0
2015-01-02 05:00:00,-0.7201831,0.0,0.0,24.48,12.879752,206.56505,25.500002,0.0
2015-01-02 06:00:00,-0.40018302,0.0,0.0,23.759998,13.392774,216.25385,54.0,0.0
2015-01-02 07:00:00,0.34981698,0.0,0.0,30.599998,15.484185,215.53769,46.0,0.0
2015-01-02 08:00:00,1.549817,0.0,0.0,33.839996,17.654688,219.2072,56.0,20.008755
2015-01-02 09:00:00,3.379817,0.0,0.0,36.719997,18.59845,227.3533,98.0,0.6060612
2015-01-02 10:00:00,3.459817,0.4,0.0,37.8,15.683774,238.13402,100.0,0.0
2015-01-02 11:00:00,3.0698168,0.7,0.0,37.079998,15.941944,244.59229,100.0,0.0
2015-01-02 12:00:00,3.189817,0.5,0.0,36.0,17.551615,244.48615,100.0,0.0
2015-01-02 13:00:00,3.2898169,0.6,0.0,40.32,19.05281,247.79654,100.0,0.0
2015-01-02 14:00:00,3.209817,0.6,0.0,40.68,19.721298,248.58704,100.0,0.0
2015-01-02 15:00:00,3.0998168,0.6,0.0,39.239998,19.137648,253.61046,98.0,0.6060612
2015-01-02 16:00:00,3.199817,0.2,0.0,39.239998,17.902534,254.84595,100.0,0.0
2015-01-02 17:00:00,3.219817,0.0,0.0,36.719997,17.208603,254.21925,97.0,0.0
2015-01-02 18:00:00,3.239817,0.0,0.0,35.64,16.09969,259.69516,98.0,0.0
2015-01-02 19:00:00,3.0598168,0.0,0.0,32.039997,15.124284,268.63608,100.0,0.0
2015-01-02 20:00:00,2.979817,0.0,0.0,30.239998,14.081478,265.6013,100.0,0.0
2015-01-02 21:00:00,2.8698168,0.0,0.0,28.44,13.138765,260.5377,94.0,0.0
2015-01-02 22:00:00,2.739817,0.0,0.0,26.28,13.207634,252.55283,92.0,0.0
2015-01-02 23:00:00,2.659817,0.0,0.0,25.199999,12.181625,251.0296,96.0,0.0
2015-01-03 00:00:00,2.3598168,0.0,0.0,24.48,11.966954,254.29138,92.0,0.0
2015-01-03 01:00:00,2.169817,0.0,0.0,23.759998,11.928989,264.80557,87.0,0.0
2015-01-03 02:00:00,1.959817,0.0,0.0,23.4,9.605998,257.00537,79.0,0.0
2015-01-03 03:00:00,1.589817,0.0,0.0,21.599998,8.311245,252.34988,58.0,0.0
2015-01-03 04:00:00,1.509817,0.0,0.0,19.8,7.5685663,244.65384,90.0,0.0
2015-01-03 05:00:00,1.019817,0.0,0.0,16.199999,6.989936,214.50853,90.0,0.0
2015-01-03 06:00:00,0.80981696,0.0,0.0,14.4,7.0911775,203.9625,100.0,0.0
2015-01-03 07:00:00,0.79981697,0.0,0.0,14.759999,7.8625183,195.9454,99.0,0.0
2015-01-03 08:00:00,0.8398169,0.0,0.0,19.44,10.495713,185.90614,96.0,1.3999988
2015-01-03 09:00:00,1.039817,0.0,0.0,19.44,7.342588,191.30994,88.0,6.666666
2015-01-03 10:00:00,2.759817,0.0,0.0,16.56,7.42159,202.83365,91.0,4.8484864
2015-01-03 11:00:00,3.0798168,0.0,0.0,18.359999,9.793059,216.02737,98.0,0.6060612
2015-01-03 12:00:00,3.259817,0.1,0.0,20.880001,9.693296,211.32869,100.0,0.0
2015-01-03 13:00:00,3.0898168,0.3,0.0,19.44,10.239453,169.87534,100.0,0.0
2015-01-03 14:00:00,1.629817,1.7,0.07,11.879999,5.4833565,156.8014,100.0,0.0
2015-01-03 15:00:00,1.549817,2.0,0.14,11.159999,5.1544156,167.90524,100.0,0.0
2015-01-03 16:00:00,3.409817,1.9,0.0,55.079998,10.787993,244.29004,100.0,0.0
2015-01-03 17:00:00,5.129817,0.8,0.0,51.12,17.782686,238.24052,95.0,0.0
2015-01-03 18:00:00,6.229817,1.3,0.0,81.36,25.992397,239.17233,99.0,0.0
2015-01-03 19:00:00,7.4498167,1.1,0.0,85.32,31.25372,245.50143,96.0,0.0
2015-01-03 20:00:00,8.259817,0.6,0.0,88.56,32.571545,249.9628,84.0,0.0
2015-01-03 21:00:00,8.039817,1.4,0.0,88.2,32.736256,261.7808,99.0,0.0
2015-01-03 22:00:00,7.039817,2.5,0.0,83.88,24.66197,326.30994,100.0,0.0
2015-01-03 23:00:00,2.8098168,1.9,0.0,57.239998,16.965895,342.7185,83.0,0.0
2015-01-04 00:00:00,1.219817,0.2,0.0,39.239998,4.896529,287.10272,53.0,0.0
2015-01-04 01:00:00,0.63981694,0.0,0.0,22.68,8.311245,287.65012,30.0,0.0
2015-01-04 02:00:00,0.579817,0.0,0.0,20.880001,9.0,306.8699,36.0,0.0
2015-01-04 03:00:00,1.019817,0.0,0.0,24.48,10.315115,299.24884,85.0,0.0
2015-01-04 04:00:00,1.0798169,0.0,0.0,25.56,10.30883,294.77515,92.0,0.0
2015-01-04 05:00:00,1.059817,0.0,0.0,24.84,9.983106,295.64102,92.0,0.0
2015-01-04 06:00:00,0.93981695,0.0,0.0,24.119999,10.495713,300.96378,93.0,0.0
2015-01-04 07:00:00,0.61981696,0.0,0.0,24.119999,12.10157,300.37915,97.0,0.0
